Category,Rating,Reviews,Installs
1.9,19.0,,0.0
ART_AND_DESIGN,4.36,27651.16,124233100.0
AUTO_AND_VEHICLES,4.19,15940.14,53129800.0
BEAUTY,4.28,9407.93,26916200.0
BOOKS_AND_REFERENCE,4.35,123575.24,1916291655.0
BUSINESS,4.1,45769.28,863518120.0
COMICS,4.16,58309.4,56036100.0
COMMUNICATION,4.15,1958544.27,24152241530.0
DATING,3.97,34875.25,206522410.0
EDUCATION,4.38,179571.5,533852000.0
ENTERTAINMENT,4.14,428565.01,2455660000.0
EVENTS,4.44,3568.67,15949410.0
FAMILY,4.19,230948.03,10041130590.0
FINANCE,4.13,53626.4,770312400.0
FOOD_AND_DRINK,4.16,72370.33,257777750.0
GAME,4.28,1318001.75,31543862717.0
HEALTH_AND_FITNESS,4.26,117729.26,1361006220.0
HOUSE_AND_HOME,4.16,41093.99,125082000.0
LIBRARIES_AND_DEMO,4.18,15900.54,62083000.0
LIFESTYLE,4.1,42031.34,534741120.0
MAPS_AND_NAVIGATION,4.05,247250.48,724267560.0
MEDICAL,4.18,4623.93,42162676.0
NEWS_AND_MAGAZINES,4.13,178714.53,5393110650.0
PARENTING,4.3,19072.18,31116110.0
PERSONALIZATION,4.33,242557.54,2074352930.0
PHOTOGRAPHY,4.18,672030.81,9721243130.0
PRODUCTIVITY,4.2,307048.62,12463070180.0
SHOPPING,4.25,469955.31,2573331540.0
SOCIAL,4.25,2186788.93,12513841475.0
SPORTS,4.23,228398.98,1528531465.0
TOOLS,4.05,372185.51,11450724500.0
TRAVEL_AND_LOCAL,4.09,271048.84,6361859300.0
VIDEO_PLAYERS,4.06,689873.08,6221897200.0
WEATHER,4.24,194729.27,426096500.0
