Actual Price,Predicted Price
4060000,5203691.709631779
6650000,7257004.021154758
3710000,3062828.5966817136
6440000,4559591.65374424
2800000,3332932.3055978213
4900000,3563080.679189967
5250000,5645466.31219972
4543000,6413979.66873635
2450000,2755831.5481899967
3353000,2668938.6607522857
10150000,9570600.299153537
2660000,2827431.508600615
3360000,3195686.2583409003
3360000,3352263.994384709
2275000,3713879.4999613143
2660000,5301088.244357492
2660000,2987920.266696797
7350000,4810799.821237103
2940000,4383031.704899294
2870000,3525092.189386463
6720000,5796259.500680126
5425000,5840000.70299301
1890000,2760214.608640996
5250000,4762590.149206075
4193000,5204755.73895206
12250000,7515542.716190248
3080000,3254681.6895638173
5110000,5236164.459644442
9800000,8178523.16820284
2520000,3434166.1567564914
6790000,6443921.587675816
3500000,3346004.779191838
6650000,6742324.740041327
2940000,4154936.8408866534
3325000,3589152.4749125256
4200000,5788125.925153227
4900000,4768370.181540765
3290000,4391684.041931718
3500000,3217657.045499349
2380000,4638196.619288781
5495000,4522160.277867141
3675000,3541284.0612724503
6650000,7238136.119411707
4907000,4021515.6892661396
3150000,3701978.7682275656
4480000,4298879.555630982
6580000,6705004.020606104
5740000,3993466.5229689656
3003000,3798185.0532805882
1820000,3451821.562428899
8400000,7293996.8686746145
2450000,2832905.2697267765
4270000,4378698.147699305
4007500,4468002.854183531
3234000,3714623.897658831
1750000,2718466.9028277947
9800000,7524449.649836258
2100000,2950437.1495280974
4340000,4194596.285929211
3045000,2795827.7731810044
3850000,4801788.725770279
3500000,3618230.298759718
4753000,5091685.770197518
3080000,4248122.706476514
4550000,4729964.20281946
6510000,4620982.9363411
6685000,7215846.769839265
5110000,3485106.1913268208
4550000,5933820.143499137
6650000,6236580.980955476
3640000,4809923.610159989
5600000,5130920.229389474
3780000,4527282.873925831
6615000,8006869.072083663
3220000,3543927.637137154
6650000,5463086.052818166
4690000,3902441.285051627
4830000,4661063.634958861
6860000,4825370.8933173325
2233000,4276803.470999671
7035000,7754072.713444584
4165000,4008573.2323562885
6195000,6500977.913450378
6510000,5386796.00909808
1890000,2785343.0092764013
8190000,6836356.367718457
2660000,2638553.493780469
4193000,3634231.9921534797
13300000,8004072.41154001
9681000,8048399.754182439
4340000,3227573.6968730884
8645000,5935167.419835405
3703000,3605772.483174544
5145000,3817767.91420862
6440000,7631673.340745585
5950000,4775106.62670537
5810000,5093491.444429308
5740000,6447437.14797692
6230000,4943449.681356401
5600000,5943929.142954261
3010000,3810460.2640542528
8890000,6457426.3230276145
4900000,3701491.2321817763
5530000,5960492.473430737
9100000,4933137.145302955
3773000,4377133.136242874
7910000,7009335.026969989
7350000,6351460.9712831685
5530000,6409340.410896711
